class (1=건전/0=부도),outx9ln,outx10ln,outx13,outx14,outx15,outx18,outx19,outx21,outx23,outx25,outx27,outx28,outx29,outx31,outx32,outx33,outx34,outx35,outx36,outx37,outx38,outx39,outx41,outx42,outx43,outx44,outx46,outx47,outx49,outx50,outx52,outx53,outx55,outx56,outx59,outx60,outx61,outx62,outx66,outx67,outx69,outx70,outx73
1,8.458504195,6.555356892,55.635,24.602,-26.683,45.454,-14.088,1.314,44.75,0.89,84.178,102.155,0.615,1.822,5.974,2.698,2.179,244.671,65.458,47.051,75.628,32.122,172.995,44.006,26.102,36.481,24.338,9.946,0.428,9.864,0.118,0.148,5.373,2.261,-11.94,-4.575,-0.903,-3.032,-9.64,-1.903,-35.394,-2.677,-6.483
0,6.021605704,4.214938459,112.18,88,87.19,469.7,106.32,0.05,500,21,11.45,0,0.02,62,0,4.24,24,466.03,0,500,457.48,62.7,761,6.21,-20.09,10.28,83.52,133.42,-0.52,39.18,-0.19,0.15,8.63,0.84,-19.61,-18.25,-32,-33,-18.29,-33,-21.77,-73,31
1,9.139381283,6.771935556,29.847,14.245,143.465,-21.929,9.272,0.837,62.996,3.864,90.466,95.394,-3.778,7.435,41.237,10.855,7.753,41.973,100,24.305,24.093,-27.869,65.093,79.84,14.473,18.802,8.442,4.208,-2.116,6.175,-0.127,0,5.515,2.095,273.979,28.488,13.769,17.487,23.766,11.487,40.051,2.012,-1.461
0,7.559523018,5.895586706,23.3,17.56,-30.13,291.51,-0.55,4.27,57.37,2.97,78.57,0,3.79,1.87,16.2,4.92,3.94,342.36,100,114.39,191.92,18.1,124.31,74.44,16.88,25.19,35.99,27.06,1.15,3.19,0.12,0.17,184.2,1.33,-2.98,-1.44,-0.19,-1.83,-9.04,-1.19,-13.09,-0.96,0.44
1,9.656371442,7.092573716,36.271,11.721,86.363,73.574,40.61,1.766,68.187,2.042,86.07,87.477,1.587,2.445,26.517,6.762,5.406,82.425,82.978,21.345,16.837,-8.457,88.583,74.084,10.22,20.389,27.881,10.53,-0.249,6.933,-0.014,0.034,7.001,3.094,78.601,27.528,4.684,4.242,19.523,3.322,4.316,0.257,0.398
1,8.427487278,6.047372179,49.497,13.476,-1.189,-5.339,25.248,2.647,70.349,1.553,91.511,91.13,1.531,1.752,16.784,8.453,5.13,267.224,24.04,64.273,69.318,36.127,185.47,42.268,19.725,30.563,35.765,10.829,0.658,11.328,0.087,0.047,22.798,3.672,-14.545,-7.492,-0.595,0.842,-20.083,-1.595,-46.868,-1.917,-0.859
1,8.344980369,6.190315406,63.223,14.54,34.817,-68.677,-16.492,1.235,69.675,2.019,86.813,102.118,1.164,2.903,17.418,11.35,9.648,195.833,100,66.208,41.129,7.037,117.032,41.316,38.365,55.391,23.836,4.989,-0.013,26.306,0,0.046,14.872,4.348,252.857,135.114,10.211,8.076,121.882,9.211,167.619,6.769,3.346
0,6.997595983,4.9698133,18.497,23.857,12.551,31.804,32.072,4.021,42.844,3.93,78.702,97.212,3.016,1.977,29.861,2.677,2.677,257.692,25.862,45.514,6.287,15.317,120.431,74.968,2.739,8.966,21.668,31.809,-0.607,2.041,0.224,0.252,1.396,0.775,6.896,1.641,0.545,2.431,-1.367,-0.454,9.482,0.75,-0.977
0,7.708859601,5.493061443,88.607,36.131,14.197,-8.029,7.42,0.538,205.077,3.186,90.035,89.178,0.314,6.916,29.218,7.545,7.545,203.906,0,76.849,14.47,28.267,163.484,44.527,7.545,25.823,29.649,12.522,-0.23,6.581,0.116,0,16.942,2.452,86.379,34.527,20.083,15.833,32.808,19.083,78.853,18.333,12.166
1,7.003974137,4.882801923,79.089,34.695,75.878,0,-2.857,1.725,65.932,6.357,86.376,81.951,1.725,4.684,53.03,14.705,14.705,107.784,44.776,99.324,97.424,2.731,104.391,62.184,14.705,27.731,14.075,6.085,-0.51,7.315,0.085,0.105,91.75,2.279,607.462,118.313,21.421,19.421,112.79,20.421,510.447,18,5.578
0,8.54368516,6.107735329,30.45,8.33,19.73,45.99,39.22,1.34,10.74,1.66,88.89,0,0.91,2.25,20.71,6.15,6.06,219.4,100,81.8,70.74,14.96,120.64,72.5,15.25,27.48,2.11,0.67,-0.64,6.47,0.04,0.03,14.85,3.65,500.01,14.55,2.52,4.31,8.77,1.52,53.41,0.8,-0.27
0,7.26961675,5.446737372,16.534,31.337,17.224,5.793,29.372,4.944,63.503,0.835,79.944,102.772,2.646,1.267,5.172,0.618,0.39,98.664,0,38.627,66.156,-0.781,98.149,42.247,1.042,7.557,50.097,107.103,0.699,2.359,-0.101,0.269,1.924,0.527,-20.091,-10.887,-4.352,-0.549,-13.389,-5.352,-61.053,-13.225,-2.549
1,7.756195344,4.736198448,56.853,31.25,48.223,225.714,36.246,3.938,59.837,1.755,81.207,98.243,3.467,1.445,35.964,2.768,2.768,112.735,1.631,92.146,58.064,5.401,110.471,51.586,4.321,7.697,41.39,26.241,-0.186,4.571,0.023,0,31.355,1.819,51.223,22.97,3.413,3.086,16.239,2.413,22.675,1.51,1.413
1,7.851661178,5.262690189,33.941,16.653,33.091,-80.582,-16.046,3.774,43.784,0.116,89.143,109.138,1.789,1.041,1.554,0.347,0.26,76.666,100,44.915,68.764,-5.473,93.326,82.015,8.079,16.768,42.05,18.832,-0.99,4.689,0.002,0,41.788,2.038,22.933,11.586,1.144,4.01,1.461,0.144,2.272,0.113,0.536
1,7.093404626,6.593044534,44.713,50.581,15.88,30.316,10.672,8.388,65.97,7.973,71.428,90.475,8.305,1.95,13.15,6.708,6.708,177.2,100,103.095,326.143,23.899,152.941,45.143,6.708,51.013,33.822,40.199,4.25,9.226,0.198,0.524,4.73,0.883,48.76,33.666,2.336,1.96,19.258,1.336,23.76,1.138,1.811
0,6.423246964,4.276666119,82.742,28.409,51.351,-50,67.721,0.649,500,5.519,90.746,82.152,0.649,9.5,47.222,12.83,12.83,121.311,0,186.046,213.513,14.716,190.697,16.226,12.83,27.169,56.603,24.35,0.649,23.692,0.055,0.059,410.666,2.912,33.333,25.906,12.5,11.5,23.834,11.5,-32,-12,5.5
1,9.321971188,7.522940918,51.335,23.548,31.525,7.325,2.167,4.015,103.943,3.166,85.278,93.288,3.657,1.924,19.135,8.024,6.828,219.323,37.182,110.867,573.684,33.352,186.191,38.695,22.183,35.686,53.954,25.015,-0.854,27.675,0.154,0.271,7.671,2.179,26.099,21.895,1.625,1.977,8.428,0.625,-23.846,-1.485,-0.632
1,9.117457244,7.744136628,44.549,24.262,-31.814,32.536,17.818,3.017,65.47,2.084,76.988,95.333,2.765,1.93,8.232,4.134,3.538,284.033,4.421,212.389,353.256,53.883,420.022,16.837,39.709,42.987,36.226,21.343,1.618,19.854,0.262,0.195,5.679,1.836,-13.316,-8.461,-0.941,0.814,-17.445,-1.941,-36.76,-2.6,0.985
0,7.058758153,5.463831805,20.614,21.066,56.317,-2.222,5.8,6.534,73.316,2.321,80.481,89.478,6.534,1.447,11.44,2.782,2.209,95.275,59.935,48.644,108.668,-1.963,96.747,60.392,1.309,19.312,50.654,53.224,-3.277,3.23,-0.069,0.243,3.266,0.978,-6.946,-4.361,-0.565,-0.684,-12.068,-1.565,-15.508,-1.263,0.46
0,8.034955025,5.805134969,70.353,24.522,22.015,0,34.678,3.401,88.529,2.559,83.576,90.848,3.012,1.904,23.795,7.692,6.396,326.712,74.738,125.593,273.986,26.801,143.667,61.376,14.736,26.882,46.477,18.594,-1.381,13.334,0.108,0.14,771.75,2.868,-16.724,-10.631,-0.914,1.266,-22.259,-1.914,-36.062,-1.971,-0.885
0,8.170468578,6.234410726,37.895,35.445,24.253,126.676,35.254,7.27,78.987,2.376,77.142,88.895,6.591,1.361,16.47,5.181,2.209,108.864,37.529,32.197,23.125,3.366,105.739,58.653,6.838,13.413,44.713,48.09,-1.271,3.226,-0.046,0.108,3.087,1.069,-9.058,-4.678,-0.599,1.035,-12.484,-1.599,-30.941,-2.046,0.529
